,SMILES,LogS (Format),cLogS,SD,Reference,Overlapping
11168,CCc1nc2[N-]C(=O)NC(=O)c2nc1CC,-2.384,-2.772407648006884,0.01587450786638764,Wang et al. 2009,Overlap
11171,CC(C)C1=C(C)N(C)N(C1=O)c1ccccc1,-1.908,-1.760111191259925,-1.0,Wang et al. 2009,Overlap
11172,[O-][N+](=O)c1ccc2ccccc2c1,-3.824,-3.898058499341735,0.2244666864666856,Wang et al. 2009,Overlap
11176,CC(=NO)C(=NO)c1ccccc1,-2.297,-2.593865374974379,-1.0,Wang et al. 2009,Overlap
11177,Cc1ccccc1OCC(O)CO,-1.19,-1.461329892213968,0.0006148170459575082,Wang et al. 2009,Overlap
11182,OCCOc1cccc(OCCO)c1,-1.018,-0.8845795487838535,-1.0,Wang et al. 2009,Overlap
11183,[O-]C(=O)c1ccc(Br)c(c1)[N+]([O-])=O,-2.966,-2.640473744484253,0.0009110433579142727,Wang et al. 2009,Overlap
11187,CC(=O)CC(C)=NCCN=C(C)CC(C)=O,-2.825,-0.9054037590621014,-1.0,Wang et al. 2009,New
11188,ONC(=O)c1ccc(cc1)[N+]([O-])=O,-1.939,-2.2801744259152152,-1.0,Wang et al. 2009,Overlap
11189,CCC(C)c1ccccc1OC(=O)NC,-2.531,-2.466128236377525,0.08189505479575682,Wang et al. 2009,Overlap
11194,CN(O)C(=O)c1ccc(cc1)[N+]([O-])=O,-2.869,-2.188740310534269,-1.0,Wang et al. 2009,Overlap
11195,COc1ccc(C=CC(=O)c2ccccc2O)cc1,-5.699,-4.903321772693234,-1.0,Wang et al. 2009,Overlap
11196,CONC(=O)c1ccc(cc1)[N+]([O-])=O,-2.283,-2.458719395832465,-1.0,Wang et al. 2009,Overlap
11197,Cc1cc(Oc2nc(C)cc(C)n2)nn1C,-1.515,-0.9143714333449624,-1.0,Wang et al. 2009,Overlap
11198,NC(=O)CNC(=O)OCc1ccccc1,-1.879,-1.9604117414609707,-1.0,Wang et al. 2009,Overlap
11199,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,-5.094,-2.8720471254067887,4.23425969420495,Wang et al. 2009,Overlap
11201,CC12CCC3(O)C(CCC4=CC(=O)CCC34C)C1CCC2=O,-2.68,-3.1248252607871727,-1.0,Wang et al. 2009,Overlap
11202,CC(CCC([O-])=O)=NNC(=O)c1ccncc1,-1.592,-1.0871013700685863,0.0007211102550927184,Wang et al. 2009,Overlap
11205,CC(=O)Nc1ccc(Cl)cc1C,-2.31,-2.1972123764180145,0.00017320508075699685,Wang et al. 2009,Overlap
11209,[O-]C(=O)c1ccc(NC(=O)c2cccnc2)cc1,-3.081,-2.813981474792647,0.0010708252269473707,Wang et al. 2009,Overlap
11213,O=C(NC(=O)c1cccnc1)Nc1ccccc1,-3.383,-2.890118726773765,0.0004999999999999449,Wang et al. 2009,Overlap
11216,CCCCC1(CC=C)C(=O)NC(=O)NC1=O,-2.172,-2.2248077256536063,0.0011547005383793808,Wang et al. 2009,Overlap
11219,CCC=C(C)C1(CC)C(=O)NC(=O)NC1=O,-2.313,-2.193292102300229,0.002121320343559723,Wang et al. 2009,Overlap
11221,CC(C)CC1(CCO)C(=O)NC(=S)NC1=O,-2.622,-1.8019964567009008,-1.0,Wang et al. 2009,Overlap
11222,CCC1(CC(C)=O)C(=O)NC(=O)NC1=O,-0.766,-0.9494040005370714,7.071067811864696e-05,Wang et al. 2009,Overlap
11224,CCCOc1ccc(cc1N)[N+]([O-])=O,-3.159,-2.984614901412855,9.999999999998899e-05,Wang et al. 2009,Overlap
11228,O=S(=O)(C1CCCCC1)C1CCCCC1,-2.061,-2.5244970331557286,-1.0,Wang et al. 2009,Overlap
11229,CCCC1(CCO)C(=O)NC(=S)NC1=O,-1.605,-1.440787119895346,-1.0,Wang et al. 2009,Overlap
11230,COc1ccc2cc(CCC(C)=O)ccc2c1,-1.455,-3.6913465093334032,-1.0,Wang et al. 2009,Overlap
11231,CC(C)(NC(=O)c1ccccc1)C([O-])=O,-0.762,-1.420197212215322,-1.0,Wang et al. 2009,Overlap
11232,[O-]C(=O)c1ccc(F)c(c1)[N+]([O-])=O,-1.579,-2.3825760672718657,0.0009678154093972026,Wang et al. 2009,Overlap
11236,COc1cc(C#N)c2COC(=O)c2c1OC,-3.484,-3.2124241999294827,-1.0,Wang et al. 2009,Overlap
11237,COc1ccc(cc1C([O-])=O)C([O-])=O,-3.112,-2.0451907354614347,0.0023452078799116143,Wang et al. 2009,Overlap
11241,COc1cc(ccc1C([O-])=O)C([O-])=O,-1.987,-2.276485293715443,0.0023741665204164756,Wang et al. 2009,Overlap
11245,[O-]C(=O)C(=O)C(c1ccccc1)c1ccccc1,-2.334,-2.504431695325012,0.0008082903768653871,Wang et al. 2009,New
11248,[O-]C(=O)CCC(=O)c1cccc2ccccc12,-3.481,-2.630478041785271,0.001109053650640953,Wang et al. 2009,Overlap
11252,[O-]C(=O)COc1ccccc1[N+]([O-])=O,-2.014,-1.996776672782744,0.001000000000000112,Wang et al. 2009,Overlap
11256,Nc1ccc(cc1)S(=O)(=O)c1ccc(Cl)cc1,-4.127,-3.810855538461466,0.00017320508075699685,Wang et al. 2009,Overlap
11259,Oc1ccc(cc1)C(=O)c1ccccc1C([O-])=O,-2.731,-2.599068438639829,0.07366704373960806,Wang et al. 2009,Overlap
11263,CC(=O)NC(=O)COC(=O)c1ccccc1,-2.401,-2.1333475346609228,0.0003881580434135552,Wang et al. 2009,Overlap
11269,NC(=O)[N-]S(=O)(=O)c1ccc(N)cc1,-1.966,-1.9480650939016164,-1.0,Wang et al. 2009,Overlap
11270,CCOC(=O)C(C)(C)NC(=O)c1ccccc1,-1.185,-1.9556986862938293,-1.0,Wang et al. 2009,Overlap
11271,CCOC(=O)Oc1ccc(NC(C)=O)cc1,-2.668,-2.4777645210595383,0.22485995641732215,Wang et al. 2009,Overlap
11273,CC1([NH2+]CCc2cc(O)c(O)cc12)C([O-])=O,-0.745,-0.6737668510439732,-1.0,Wang et al. 2009,Overlap
11274,CCC(C)(N1C(=O)c2ccccc2C1=O)C([O-])=O,-1.914,-2.4598248780913563,0.0011547005383792527,Wang et al. 2009,Overlap
11277,ON(C(=O)c1ccccc1I)c1ccccc1,-3.53,-3.446094971307939,0.00023094010767608128,Wang et al. 2009,Overlap
11280,NS(=O)(=O)c1ccc(cc1)S(N)(=O)=O,-2.528,-1.85731035298986,0.00017320508075699685,Wang et al. 2009,Overlap
11284,COc1ccc(cc1)C(O)C(O)c1ccccc1,-1.388,-1.91691975110596,-1.0,Wang et al. 2009,Overlap
11285,CC(=O)NC(COC(=O)c1ccccc1)C([O-])=O,-3.222,-1.5960753238496233,-1.0,Wang et al. 2009,Overlap
11286,[NH3+]C(Cc1ccc(O)cc1)C(=O)NCC([O-])=O,-1.096,-0.8277411739767744,0.0016263455967290372,Wang et al. 2009,Overlap
11288,COc1ccc(CC2NC(=O)N(C)C2=O)cc1,-0.893,-2.730170619471596,-1.0,Wang et al. 2009,Overlap
11289,[O-]C(=O)C(Oc1ccccc1Cl)Oc1ccccc1Cl,-2.832,-3.42933278478388,-1.0,Wang et al. 2009,Overlap
11290,COc1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+]([O-])=O,-5.906,-6.167965305584838,0.08061017305526634,Wang et al. 2009,Overlap
11292,CCOC(=O)N1CCN(CC1)C(=O)OCC,-0.729,-0.3232079758916883,0.00011547005383791243,Wang et al. 2009,Overlap
11296,CCNC(=S)N1CCN(CC1)C(=O)OCC,-1.788,-1.0892247974866225,-1.0,Wang et al. 2009,Overlap
11297,CNC(=S)NC1C(=O)NC(=O)[N-]C1=O,-0.46,-1.417835771835337,-1.0,Wang et al. 2009,New
11298,CC(C)CC(NC(=O)OCC1c2ccccc2-c2ccccc12)C([O-])=O,-3.741,-4.211593991031842,-1.0,Wang et al. 2009,Overlap
11299,CC(=O)[N-]S(=O)(=O)c1ccc(NC(=O)c2ccccc2C([O-])=O)cc1,-2.517,-2.808512128113853,-1.0,Wang et al. 2009,Overlap
11300,CCC1(CC)OC(=O)c2cc(ccc12)[N+]([O-])=O,-3.656,-3.1407449886142174,-1.0,Wang et al. 2009,Overlap
11301,CCCCC(CCCC)(CCCC)C(=O)NO,-4.156,-3.6398973691272247,-1.0,Wang et al. 2009,Overlap
11302,COC(=O)c1ccc(cc1)N(C)C,-3.049,-2.840027716575211,0.17748380207782335,Wang et al. 2009,Overlap
11304,COc1cccc(C([O-])=O)c1OC,-2.14,-1.564654864454762,-1.0,Wang et al. 2009,Overlap
11305,NS(=O)(=O)c1ccc(NO)cc1,-0.843,-1.2367685103995565,-1.0,Wang et al. 2009,Overlap
11306,[O-]S(=O)(=O)c1ccc2oc3ccccc3c2c1,-0.466,-1.3756327206123131,0.0005000000000000004,Wang et al. 2009,Overlap
11309,ON(C(=O)c1ccccc1)c1ccccc1,-2.727,-2.693910162372872,-1.0,Wang et al. 2009,Overlap
11310,CC(=O)NC(Cc1ccccc1)C([O-])=O,-1.407,-1.4452608566021905,-1.0,Wang et al. 2009,Overlap
11311,[O-]C(=O)c1ccc(C([O-])=O)c(c1)C([O-])=O,-0.397,-1.45069970014031,0.34822884716806557,Wang et al. 2009,Overlap
11314,CCOC(=O)C(Cc1ccccc1)NC(C)=O,-1.86,-1.8039340910909023,0.05210019193822613,Wang et al. 2009,Overlap
11318,Cc1cc2cc3C(C)=CC(=O)Oc3c(C)c2o1,-5.275,-4.552271617899512,-1.0,Wang et al. 2009,Overlap
11319,CCOC(=O)C(Cc1ccc(O)cc1)NC(=O)c1ccccc1,-3.332,-2.494554775798077,-1.0,Wang et al. 2009,Overlap
11320,Cc1ccc(cc1)S(=O)(=O)NC(CCC([O-])=O)C([O-])=O,-0.932,-1.861903851992512,-1.0,Wang et al. 2009,Overlap
11321,CCN(CC)C(=O)CN1C=C(Br)C(=O)C(Br)=C1,-2.312,-1.6951451960016215,-1.0,Wang et al. 2009,Overlap
11322,CCN(CC)C(=O)CN1C=C(I)C(=O)C(I)=C1,-3.177,-2.3049041375667856,-1.0,Wang et al. 2009,Overlap
11323,Oc1c(I)cc(c2cccnc12)S([O-])(=O)=O,-2.199,-1.6147222377253756,-1.0,Wang et al. 2009,Overlap
11324,CCCCC(CC)CC(CC)(CC)C(=O)NO,-3.345,-4.326939579797219,-1.0,Wang et al. 2009,Overlap
11325,CCCCCCCCC(CC)(CC)C(=O)NO,-5.222,-4.152974779057385,-1.0,Wang et al. 2009,Overlap
11326,CC(C)CC(CC(C)C)(CC(C)C)C(=O)NO,-4.0,-3.1804316574164955,-1.0,Wang et al. 2009,Overlap
11327,CCCCCCC(CCC)(CCC)C(=O)NO,-2.824,-3.774040141499238,-1.0,Wang et al. 2009,Overlap
11328,CCCCCCCCCCC(C)(C)C(=O)NO,-4.796,-3.9245419075371353,-1.0,Wang et al. 2009,Overlap
11329,OCCOC(=O)c1ccccc1O,-1.157,-1.5298724032619295,0.00017320508075686865,Wang et al. 2009,Overlap
11333,COc1cc(ccc1O)C(=O)CO,-1.783,-0.9572075825562654,0.0,Wang et al. 2009,Overlap
11335,CCCCC1(CCO)C(=O)NC(=S)NC1=O,-2.169,-1.8290240515760463,-1.0,Wang et al. 2009,Overlap
11336,OC1(CC([O-])=O)CC(=O)N(C1=O)c1ccccc1,-0.679,-0.968551263832256,-1.0,Wang et al. 2009,Overlap
11337,CCC(CC)(Cc1ccc(C)cc1)C(=O)NO,-3.346,-3.040847808417084,-1.0,Wang et al. 2009,Overlap
11338,CN(C)C(=O)c1cccc(c1)C(=O)N(C)C,0.487,0.2635789014159986,0.0,Wang et al. 2009,Overlap
11342,OCC(NC(=O)c1ccccc1)C([O-])=O,-0.912,-1.084541768781482,-1.0,Wang et al. 2009,Overlap
11343,[O-]C(=O)c1ccccc1C(=O)c1ccc(Br)cc1,-3.006,-3.53452489450389,0.000660807586720107,Wang et al. 2009,Overlap
11347,[O-]S(=O)(=O)NC1=CNC(=O)NC1=O,-1.766,-1.551029859171082,0.0,Wang et al. 2009,Overlap
11349,CCCC(CCC)(C(=O)NO)c1ccccc1,-2.886,-2.938447498325196,-1.0,Wang et al. 2009,Overlap
11350,Cc1cc(C)c(CC(C)(C)C(=O)NO)c(C)c1,-3.523,-2.887045033979356,-1.0,Wang et al. 2009,Overlap
11351,CN(CC([O-])=O)C(=S)SCc1ccccc1,-3.229,-3.029753322727048,0.0014142135623729393,Wang et al. 2009,Overlap
11353,CCC1(CC)C(=O)N(C)N(C1=O)c1ccccc1,-2.693,-2.894653323752274,-1.0,Wang et al. 2009,Overlap
11354,COc1ccc(OC)c(c1)[N+]([O-])=O,-3.117,-3.1136977081981945,0.00017320508075699683,Wang et al. 2009,Overlap
11357,CCCOC(=O)c1ccccc1C(=O)OCCC,-3.819,-3.942023217519554,0.22699999999999987,Wang et al. 2009,Overlap
11361,CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,-8.559,-6.7016774911119255,-1.0,Wang et al. 2009,Overlap
11362,CCCCCCCC[NH2+]CC(O)CO,-2.224,-1.808228081288376,-1.0,Wang et al. 2009,Overlap
11363,CCCCCCCCC[NH2+]CC(O)CO,-2.639,-2.201738058217016,-1.0,Wang et al. 2009,Overlap
11364,CCCCCCCCCC[NH2+]CC(O)CO,-3.109,-2.5548464685770385,-1.0,Wang et al. 2009,Overlap
11365,C[NH2+]CC(O)c1ccc(O)c(O)c1,-0.962,-0.1317507340782588,1.372375517904213,Wang et al. 2009,New
11373,CC(C)(NC(=O)c1ccccc1)C(N)=O,-1.615,-1.2576358708337236,0.00028284271247458785,Wang et al. 2009,Overlap
11375,CN(C)C(=O)c1ccccc1C(=O)N(C)C,0.508,0.2308565166161109,0.00017320508075686865,Wang et al. 2009,Overlap
11379,CCOC(=O)c1ccccc1C(=O)c1ccccc1,-3.405,-3.957053557419501,0.00017320508075699685,Wang et al. 2009,Overlap
11383,CC(C)CCC1(CCO)C(=O)NC(=S)NC1=O,-2.557,-2.1369986012772886,-1.0,Wang et al. 2009,Overlap
11384,CCCCCC1(CCO)C(=O)NC(=S)NC1=O,-2.375,-2.23452221370189,-1.0,Wang et al. 2009,Overlap
11385,[O-]C(=O)CN1C(Cc2ccccc2)C(=O)NC1=O,-1.791,-1.9897206603438056,-1.0,Wang et al. 2009,Overlap
11386,CN(C)C(=O)c1ccc(cc1)C(=O)N(C)C,0.266,-0.1755014192374666,0.0002309401076758569,Wang et al. 2009,Overlap
11390,CS(=O)(=O)[N-]c1ccc(cc1Oc1ccccc1)[N+]([O-])=O,-4.489,-3.5859493676623377,2.0074761517886084,Wang et al. 2009,New
11392,Nc1ccc(cc1)S(=O)(=O)[N-]c1nncs1,-2.868,-2.141705747346645,0.0002309401076758249,Wang et al. 2009,Overlap
11395,COc1c(O)cc(Cl)c(Cl)c1Cl,-2.873,-3.299540654366594,0.7631338633118918,Wang et al. 2009,Overlap
11399,NC(=O)NC1(O)NC(=O)NC1(O)C([O-])=O,-0.367,-0.8376578768481,-1.0,Wang et al. 2009,Overlap
11400,CCCC(C)CC1(CCO)C(=O)NC(=S)NC1=O,-3.085,-2.5972939915433115,-1.0,Wang et al. 2009,Overlap
11401,CCC(CC)CC1(CCO)C(=O)NC(=S)NC1=O,-3.143,-2.7851101254596804,-1.0,Wang et al. 2009,Overlap
11402,Nc1ccc(cc1)S(=O)(=O)Nc1ccc(I)nc1,-1.811,-3.0654721869651125,-1.0,Wang et al. 2009,Overlap
11403,CN1N(C(=O)C(NC(N)=O)=C1C)c1ccccc1,-1.522,-1.4111510706107098,0.00011547005383791244,Wang et al. 2009,Overlap
11406,CC12CCC3C(CCC4=CC(=O)C=CC34C)C1CCC2=O,-2.788,-3.944990065580756,-1.0,Wang et al. 2009,Overlap
11407,COc1cc(Cl)c(Cl)c(Cl)c1O,-3.658,-3.1946438964701804,-1.0,Wang et al. 2009,Overlap
11408,CC(=O)C(Oc1ccccc1Cl)C([O-])=O,-2.102,-2.0148207899739754,-1.0,Wang et al. 2009,Overlap
11409,ON=C1C(=O)C=Cc2ccccc12,-2.937,-4.062006554810532,0.0,Wang et al. 2009,Overlap
11411,CC(=O)Nc1ccc2nc(sc2c1)S(N)(=O)=O,-3.159,-2.3859215442091704,-1.0,Wang et al. 2009,Overlap
11412,CN1c2ccccc2C(O)(c2ccccc2)c2ccccc12,-3.903,-4.345709622780308,5.773502691882802e-05,Wang et al. 2009,Overlap
11416,OCCOC(=O)c1ccccc1C([O-])=O,-1.48,-1.1669147293268152,0.0013228756555322754,Wang et al. 2009,Overlap
11419,[O-]C(=O)CSC(CC([O-])=O)c1ccccc1,-1.545,-1.6626303167286065,0.17236880034778135,Wang et al. 2009,Overlap
11422,COc1ccc(O)c(c1)C(=O)C=Cc1ccccc1,-6.001,-5.224161184087496,-1.0,Wang et al. 2009,Overlap
11423,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1C,-3.144,-2.515262659302485,0.0002886751345949093,Wang et al. 2009,Overlap
11426,COC(=O)c1ccc(O)c(Br)c1,-3.165,-2.5667672144780087,0.0,Wang et al. 2009,Overlap
11429,CC(CCC([O-])=O)NC(=O)c1ccccc1,-1.644,-1.459921877890567,0.02390041840637945,Wang et al. 2009,Overlap
11433,[O-]C(=O)c1ccccc1C(=O)OCCOC(=O)c1ccccc1C([O-])=O,-2.825,-2.324211255699145,0.002121320343559409,Wang et al. 2009,Overlap
11435,CC(=O)Nc1ccc(C)cc1F,-1.74,-2.085470444065844,0.00017320508075686865,Wang et al. 2009,Overlap
11439,CC(=O)Nc1ccc(F)cc1C,-1.359,-1.670795453079722,0.00017320508075686865,Wang et al. 2009,Overlap
11443,COc1cc(c2COC(=O)c2c1OC)[N+]([O-])=O,-3.209,-2.8900327871917333,-1.0,Wang et al. 2009,Overlap
11444,COC(=O)c1ccc(O)c(Cl)c1,-2.873,-2.39860026932196,0.0,Wang et al. 2009,Overlap
11448,CC(=O)CC(C)=Nc1ccc(O)cc1,-3.585,-1.4737051920265365,-1.0,Wang et al. 2009,New
11449,OCCNC(=O)c1cc(O)ccc1O,-0.544,-1.0885195535370131,0.00023094010767588897,Wang et al. 2009,Overlap
11453,CCC1(CC)C(=O)N(N=C1OC(C)=O)c1ccccc1,-3.535,-3.802031194155114,-1.0,Wang et al. 2009,Overlap
11454,[O-]C(=O)CCC(=O)c1ccc2ccccc2c1,-3.851,-2.9106563458094348,0.001109053650640953,Wang et al. 2009,Overlap
11458,COC(=O)c1cc(O)c(OC)c(O)c1,-1.598,-1.905491143726918,5.773502691895622e-05,Wang et al. 2009,Overlap
11461,Nc1ccc2c(O)cccc2c1S([O-])(=O)=O,-2.057,-1.8327454089718795,-1.0,Wang et al. 2009,Overlap
11462,Oc1ccc(O)c(CC([O-])=O)c1,0.706,-0.7681722463094589,0.0011090536506409296,Wang et al. 2009,Overlap
11466,CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccccn1,-3.716,-2.975740072111182,0.00011547005383791244,Wang et al. 2009,Overlap
11469,CN(C)c1cccc(c1)S([O-])(=O)=O,0.298,-0.4485850139621248,0.00017320508075690068,Wang et al. 2009,Overlap
11473,COc1c(cccc1C([O-])=O)C([O-])=O,-2.288,-1.6528117323646894,0.002374166520416697,Wang et al. 2009,Overlap
11477,Nc1ccc2cccc(c2c1)S([O-])(=O)=O,-2.536,-1.5947237895073774,0.019924858845171263,Wang et al. 2009,Overlap
11480,Nc1ccc2c(cccc2c1)S([O-])(=O)=O,-2.747,-1.3567079417197818,0.04707794954470023,Wang et al. 2009,Overlap
11483,CC(=O)NC(Cc1ccc(O)cc1)C([O-])=O,0.009,-1.1071337612436294,-1.0,Wang et al. 2009,Overlap
11484,NS(=O)(=O)c1cccc(c1)S(N)(=O)=O,-2.169,-1.8326624754715697,0.00017320508075674047,Wang et al. 2009,Overlap
11488,Cc1ccc(cc1)S(=O)(=O)Oc1ccccc1C,-3.942,-4.631438961606862,0.00017320508075699685,Wang et al. 2009,Overlap
11492,[NH3+]CC(=O)NC(Cc1ccc(O)cc1)C([O-])=O,-0.731,-0.9031371390884356,0.0011313708498985084,Wang et al. 2009,Overlap
11494,COc1cc(NC(=O)c2cccnc2)c2ncccc2c1,-4.446,-3.1172456576226883,5.7735026919340816e-05,Wang et al. 2009,Overlap
11497,CC(=O)CC(C)=Nc1ccccc1O,-3.553,-1.6867269303918977,-1.0,Wang et al. 2009,New
11498,CCOc1ccc(cc1N)[N+]([O-])=O,-3.211,-2.572302390052114,0.0001500000000000945,Wang et al. 2009,Overlap
11502,CCCCCOC(=O)c1ccc(O)cc1,-3.813,-3.1927442245979263,0.00028867513459465287,Wang et al. 2009,Overlap
11505,CCCCCCOC(=O)c1ccc(O)cc1,-3.949,-3.7839982767654985,0.0,Wang et al. 2009,Overlap
11509,NC(=O)c1cccc(c1)S(N)(=O)=O,-2.155,-1.6808832449450584,0.00023094010767608128,Wang et al. 2009,Overlap
11513,Nc1ccccc1C=Nc1ccccc1O,-3.638,-3.645995351910142,-1.0,Wang et al. 2009,Overlap
11514,CCCCCCCOC(=O)c1ccc(O)cc1,-4.073,-4.332918762230479,0.00047871355387829026,Wang et al. 2009,Overlap
11518,COS(=O)(=O)c1ccc(cc1)C([O-])=O,-3.047,-2.393156306856108,-1.0,Wang et al. 2009,Overlap
11519,Nc1ccccc1C(=O)OCC=Cc1ccccc1,-6.042,-4.76197684077776,-1.0,Wang et al. 2009,Overlap
11520,[NH3+]C(C(=O)NCC([O-])=O)c1ccccc1,-1.413,-0.6762695600872859,-1.0,Wang et al. 2009,Overlap
11521,CC(=O)CC(C)=Nc1ccc(cc1)N=C(C)CC(C)=O,-1.886,-2.477527195201983,-1.0,Wang et al. 2009,New
11522,O=C1NC=Nc2nc(-c3ccccc3)c(nc12)-c1ccccc1,-3.177,-4.351174851127142,0.011357816691600723,Wang et al. 2009,New
11525,[O-]C(=O)CN(C(=S)SCc1ccccc1)c1ccccc1,-3.921,-3.786960383806384,0.0007071067811867837,Wang et al. 2009,Overlap
11527,CC(C)c1nnc([N-]S(=O)(=O)c2ccc(N)cc2)s1,-3.414,-2.4008079013834336,5.773502691882802e-05,Wang et al. 2009,Overlap
11530,CCCc1nnc([N-]S(=O)(=O)c2ccc(N)cc2)s1,-3.308,-2.4925515229384843,0.0004999999999999449,Wang et al. 2009,Overlap
11533,COC(=O)C(Cc1ccccc1)NC(=O)C(CC([O-])=O)NC(=O)C(F)(F)F,-2.656,-1.9264610201366128,-1.0,Wang et al. 2009,Overlap
11534,NC1=CC(=O)C(=O)c2ccccc12,-3.841,-2.5835683254659667,0.0,Wang et al. 2009,New
11536,CCCCCCCCOC(=O)c1ccc(O)cc1,-4.222,-4.737991263184478,0.0002309401076758249,Wang et al. 2009,Overlap
11540,O[P+](O)(CCC([O-])=O)c1ccccc1,-3.078,0.2285423490184066,-1.0,Wang et al. 2009,New
11541,CC(=O)Nc1ccc-2c(Cc3ccccc-23)c1,-4.235,-4.499252993837432,0.27577164466275333,Wang et al. 2009,Overlap
11543,CC(=O)Nc1cc(Cl)ccc1[N+]([O-])=O,-0.985,-2.7920497252367293,-1.0,Wang et al. 2009,Overlap
11544,[O-]C(=O)C(Cc1ccccc1)[NH2+]CCC#N,-1.492,-1.7214250838756329,0.0009678154093972026,Wang et al. 2009,Overlap
11548,COC(=O)c1ccc(O)c(I)c1,-3.314,-2.8685360563106226,0.00011547005383791244,Wang et al. 2009,Overlap
11552,CCOC(=O)c1ccc(O)c(Cl)c1,-3.223,-2.320073203843803,0.00011547005383791244,Wang et al. 2009,Overlap
11556,CCOC(=O)c1ccc(O)c(I)c1,-3.492,-2.7239948135272964,0.00023094010767582486,Wang et al. 2009,Overlap
11560,CCCOC(=O)c1ccc(O)c(I)c1,-3.687,-3.0530796064770445,0.0002886751345946529,Wang et al. 2009,Overlap
11564,CCNC(=O)NC1=C(C)N(C)N(C1=O)c1ccccc1,-1.826,-1.660750811370305,0.0007071067811866267,Wang et al. 2009,Overlap
11566,NC(=O)c1ccc(cc1)S(N)(=O)=O,-2.302,-1.8226926594306168,0.0004082482904638181,Wang et al. 2009,Overlap
11570,CCCCOC(=O)c1ccc(O)c(I)c1,-3.903,-3.3477501317120857,0.00017320508075699685,Wang et al. 2009,Overlap
11574,CC(C)Cc1nnc([N-]S(=O)(=O)c2ccc(N)cc2)s1,-3.823,-2.8682056707517565,0.0002309401076758249,Wang et al. 2009,Overlap
11577,Cc1ccc(cc1)C(=O)N(O)c1ccc(Cl)cc1,-4.418,-3.962474398822508,-1.0,Wang et al. 2009,Overlap
11578,ON(C(=O)c1ccc(Cl)cc1Cl)c1ccccc1,-3.672,-4.170375560404873,0.00017320508075674047,Wang et al. 2009,Overlap
11581,O[P+](c1ccccc1)(c1ccc(cc1)C([O-])=O)c1ccc(cc1)C([O-])=O,-6.005,-1.0847303102270909,-1.0,Wang et al. 2009,New
11582,NS(=O)(=O)c1ccccc1C1=Nc2ccccc2C(=O)N1,-3.079,-2.792436358879018,0.0,Wang et al. 2009,Overlap
11584,CC(C)=NNC(=O)NC1c2ccccc2Oc2ccccc12,-4.169,-4.064426536484853,-1.0,Wang et al. 2009,Overlap
11585,[NH3+]C1C(O)C(O)C(O)C(O)C1O,-1.408,-0.8832673168129226,-1.0,Wang et al. 2009,Overlap
11586,[O-]C(=O)C=CC(=O)Nc1ccccc1,-2.723,-2.0353331922783995,0.22091679240534576,Wang et al. 2009,Overlap
11590,O[P+](O)(c1ccccc1)c1ccc(cc1)C([O-])=O,-4.066,-0.7283295360993907,-1.0,Wang et al. 2009,New
11591,CC(=O)Nc1ccc(cc1)S(=O)(=O)[N-]c1nc(C)cs1,-4.151,-3.08860245700922,1.1547294069752156,Wang et al. 2009,Overlap
11594,Nc1ccc(cc1)S(=O)(=O)Nc1ncc2CCCCc2n1,-3.651,-2.900692404511048,5.773502691882802e-05,Wang et al. 2009,Overlap
11597,CN1C(=O)C(Cc2ccc(O)cc2)N(CC([O-])=O)C1=O,-0.045,-1.3204541151784568,-1.0,Wang et al. 2009,Overlap
11598,CC(C)CC([NH3+])C(=O)NC(Cc1ccc(O)cc1)C([O-])=O,-1.575,-1.2055537700601444,0.0012727922061358022,Wang et al. 2009,Overlap
11600,C[NH+](C)CCNC(=O)NC1CCCCC1,-0.66,-0.583202094497052,-1.0,Wang et al. 2009,Overlap
11601,CC[NH+](CC)CC(C)OC(=O)c1ccc(N)cc1,-2.351,-1.9938226735737028,-1.0,Wang et al. 2009,Overlap
11602,CC[NH+](CC)C(C)COC(=O)c1ccc(N)cc1,-2.384,-1.7372874384858104,-1.0,Wang et al. 2009,Overlap
11603,CC(C)CC(NC(=O)C([NH3+])Cc1ccc(O)cc1)C([O-])=O,-2.069,-1.216903910117435,0.0013435028842544493,Wang et al. 2009,Overlap
11605,CCCCNC(=O)NC1=C(C)N(C)N(C1=O)c1ccccc1,-1.629,-2.2893234614027715,0.0,Wang et al. 2009,Overlap
11607,NC(=O)SCC(=O)Nc1ccccc1,-1.323,-1.9841303789973328,0.00011547005383791243,Wang et al. 2009,Overlap
11611,[O-][n+]1onc(C(=O)c2ccco2)c1C(=O)c1ccco1,-3.847,-3.526798199466341,0.0,Wang et al. 2009,Overlap
11613,OC(CC([O-])=O)(CC([O-])=O)C(=O)Nc1ccccc1,-0.484,-0.713843039326993,0.0016441816606851422,Wang et al. 2009,Overlap
11617,CC1C2C(O)CCC(O)C2CCC1=O,-0.297,0.1459188702111604,0.00011547005383794448,Wang et al. 2009,Overlap
11620,CC(C)C1CCC(=NO)C(C1)=NO,-2.39,-2.8257364438754498,0.00017320508075674047,Wang et al. 2009,Overlap
11623,CCC(C)(C)C1CCC(=NO)C(C1)=NO,-3.965,-3.762474731635427,0.00011547005383791244,Wang et al. 2009,Overlap
